Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],,
2019,YR2019,Afghanistan,AFG,19291104008,507.1034319,,
2019,YR2019,Albania,ALB,15279183290,5353.244856,,
2019,YR2019,Algeria,DZA,1.71E+11,3973.964072,,
2019,YR2019,American Samoa,ASM,..,..,,
2019,YR2019,Andorra,AND,3154057987,40886.39116,,
2019,YR2019,Angola,AGO,88815697793,2790.726615,,
2019,YR2019,Antigua and Barbuda,ATG,1661962963,17112.82113,,
2019,YR2019,Argentina,ARG,4.45E+11,9912.281809,,
2019,YR2019,Armenia,ARM,13672802158,4622.733493,,
2019,YR2019,Aruba,ABW,..,..,,
2019,YR2019,Australia,AUS,1.40E+12,55057.2047,,
2019,YR2019,Austria,AUT,4.45E+11,50121.55421,,
2019,YR2019,Azerbaijan,AZE,48047647059,4793.125559,,
2019,YR2019,"Bahamas, The",BHS,13578800000,34863.7421,,
2019,YR2019,Bahrain,BHR,38574069149,23503.97713,,
2019,YR2019,Bangladesh,BGD,3.03E+11,1855.739824,,
2019,YR2019,Barbados,BRB,5209000000,18148.24493,,
2019,YR2019,Belarus,BLR,63080457023,6697.968615,,
2019,YR2019,Belgium,BEL,5.33E+11,46345.40329,,
2019,YR2019,Belize,BLZ,1879613600,4815.163711,,
2019,YR2019,Benin,BEN,14390709095,1219.432672,,
2019,YR2019,Bermuda,BMU,7484113000,116889.9527,,
2019,YR2019,Bhutan,BTN,2530547158,3316.175714,,
2019,YR2019,Bolivia,BOL,40895322844,3552.06876,,
2019,YR2019,Bosnia and Herzegovina,BIH,20164193807,6108.510696,,
2019,YR2019,Botswana,BWA,18340480936,7961.325181,,
2019,YR2019,Brazil,BRA,1.84E+12,8717.186278,,
2019,YR2019,British Virgin Islands,VGB,..,..,,
2019,YR2019,Brunei Darussalam,BRN,13469422959,31086.75112,,
2019,YR2019,Bulgaria,BGR,68558815112,9828.148515,,
2019,YR2019,Burkina Faso,BFA,15990803570,786.8956313,,
2019,YR2019,Burundi,BDI,3012334882,261.2474725,,
2019,YR2019,Cabo Verde,CPV,1981845740,3603.781793,,
2019,YR2019,Cambodia,KHM,27089389787,1643.121389,,
2019,YR2019,Cameroon,CMR,39007354359,1507.450206,,
2019,YR2019,Canada,CAN,1.74E+12,46189.66011,,
2019,YR2019,Cayman Islands,CYM,..,..,,
2019,YR2019,Central African Republic,CAF,2220307369,467.9074406,,
2019,YR2019,Chad,TCD,11314951343,709.5403101,,
2019,YR2019,Channel Islands,CHI,..,..,,
2019,YR2019,Chile,CHL,2.82E+11,14896.45387,,
2019,YR2019,China,CHN,1.43E+13,10216.63033,,
2019,YR2019,Colombia,COL,3.24E+11,6428.676206,,
2019,YR2019,Comoros,COM,1165839927,1370.148207,,
2019,YR2019,"Congo, Dem. Rep.",COD,50400746171,580.7168672,,
2019,YR2019,"Congo, Rep.",COG,12267392147,2279.969131,,
2019,YR2019,Costa Rica,CRI,61801385049,12243.81143,,
2019,YR2019,Cote d'Ivoire,CIV,58539424930,2276.333279,,
2019,YR2019,Croatia,HRV,60752588976,14944.35622,,
2019,YR2019,Cuba,CUB,..,..,,
2019,YR2019,Curacao,CUW,3101787709,19701.27038,,
2019,YR2019,Cyprus,CYP,24948935408,27858.371,,
2019,YR2019,Czech Republic,CZE,2.51E+11,23489.83866,,
2019,YR2019,Denmark,DNK,3.50E+11,60213.09215,,
2019,YR2019,Djibouti,DJI,3324634256,3414.92487,,
2019,YR2019,Dominica,DMA,582403703.7,8110.568512,,
2019,YR2019,Dominican Republic,DOM,88941299734,8282.116359,,
2019,YR2019,Ecuador,ECU,1.07E+11,6183.823825,,
2019,YR2019,"Egypt, Arab Rep.",EGY,3.03E+11,3019.205829,,
2019,YR2019,El Salvador,SLV,27022640000,4187.250031,,
2019,YR2019,Equatorial Guinea,GNQ,11026774945,8131.923888,,
2019,YR2019,Eritrea,ERI,..,..,,
2019,YR2019,Estonia,EST,31471100656,23717.79945,,
2019,YR2019,Eswatini,SWZ,4471598727,3894.679807,,
2019,YR2019,Ethiopia,ETH,95912590628,855.7608623,,
2019,YR2019,Faroe Islands,FRO,..,..,,
2019,YR2019,Fiji,FJI,5496250694,6175.88872,,
2019,YR2019,Finland,FIN,2.69E+11,48771.3738,,
2019,YR2019,France,FRA,2.72E+12,40496.36403,,
2019,YR2019,French Polynesia,PYF,..,..,,
2019,YR2019,Gabon,GAB,16874450215,7767.013404,,
2019,YR2019,"Gambia, The",GMB,1826073740,777.8119321,,
2019,YR2019,Georgia,GEO,17477255546,4697.983648,,
2019,YR2019,Germany,DEU,3.86E+12,46467.5162,,
2019,YR2019,Ghana,GHA,66983634224,2202.115567,,
2019,YR2019,Gibraltar,GIB,..,..,,
2019,YR2019,Greece,GRC,2.10E+11,19580.98833,,
2019,YR2019,Greenland,GRL,..,..,,
2019,YR2019,Grenada,GRD,1210603704,10808.67212,,
2019,YR2019,Guam,GUM,..,..,,
2019,YR2019,Guatemala,GTM,76710355347,4619.985258,,
2019,YR2019,Guinea,GIN,12296665331,962.8399086,,
2019,YR2019,Guinea-Bissau,GNB,1339449165,697.2949269,,
2019,YR2019,Guyana,GUY,5173759528,6609.586425,,
2019,YR2019,Haiti,HTI,14332163266,1272.490925,,
2019,YR2019,Honduras,HND,25095395475,2574.912191,,
2019,YR2019,"Hong Kong SAR, China",HKG,3.66E+11,48713.47375,,
2019,YR2019,Hungary,HUN,1.63E+11,16729.78037,,
2019,YR2019,Iceland,ISL,24188038474,67084.08371,,
2019,YR2019,India,IND,2.87E+12,2099.599048,,
